Компонент Модуль  Версія Сума,MGA-01900-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01900-EIP-B_UA-IPS_C000 kWh  2.*,MGA-00400-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00400-EIP-B_UA-IPS_C000 kWh  2.*,MGA-01100-EIP-B_UA-IPS_C000 kWh  2.*,MGA-01100-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01200-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01200-EIP-B_UA-IPS_C000 kWh  2.*,MGA-01600-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01600-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02900-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00700-EIP-AB_UA-BEI_C000 kWh  2.*,MGA-00700-EIP-BB_UA-BEI_C000 kWh  2.*,MGA-02400-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02400-EIP-B_UA-IPS_C000 kWh  2.*,MGA-01400-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01400-EIP-B_UA-IPS_C000 kWh  2.*,MGA-00300-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00300-EIP-B_UA-IPS_C000 kWh  2.*,MGA-03000-EIP-A_UA-IPS_C000 kWh  2.*,MGA-03000-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02900-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02500-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02500-EIP-B_UA-IPS_C000 kWh  2.*,MGA-01800-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01800-EIP-B_UA-IPS_C000 kWh  2.*,MGA-01000-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01000-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02700-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02700-EIP-B_UA-IPS_C000 kWh  2.*,MGA-00100-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00100-EIP-B_UA-IPS_C000 kWh  2.*,MGA-00000-EIP-B_UA-IPS_C000 kWh  2.*,MGA-00000-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02200-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02200-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02100-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02100-EIP-B_UA-IPS_C000 kWh  2.*,MGA-01500-EIP-A_UA-IPS_C000 kWh  2.*,MGA-01500-EIP-B_UA-IPS_C000 kWh  2.*,MGA-00500-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00500-EIP-B_UA-IPS_C000 kWh  2.*,MGA-00801-EIP-AB_UA-BEI_C000 kWh  2.*,MGA-00801-EIP-BB_UA-BEI_C000 kWh  2.*,MGA-00800-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00800-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02600-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02600-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02901-EIP-BB_UA-BEI_C000 kWh  2.*,MGA-00600-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00600-EIP-B_UA-IPS_C000 kWh  2.*,MGA-03300-EIP-B_UA-IPS_C000 kWh  2.*,MGA-03300-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00901-EIP-AB_UA-BEI_C000 kWh  2.*,MGA-00901-EIP-BB_UA-BEI_C000 kWh  2.*,MGA-00900-EIP-A_UA-IPS_C000 kWh  2.*,MGA-00900-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02300-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02300-EIP-B_UA-IPS_C000 kWh  2.*,MGA-03400-EIP-A_UA-IPS_C000 kWh  2.*,MGA-03400-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02000-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02000-EIP-B_UA-IPS_C000 kWh  2.*,MGA-02800-EIP-A_UA-IPS_C000 kWh  2.*,MGA-02800-EIP-B_UA-IPS_C000 kWh  2.*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.03.2022 00:00 - 01:00,f,f,645,0,242,0,0,0,82,0,0,0,321,0,0,0,29,0,11,0,f,f,0,0,214,0,0,0,0,0,0,0,0,0,0,0,192,0,11,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,418,0,0,0,171,0,0,0,233,0,0,0,93,0,0,0,107,0,0,0,0,0,0,0,42,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
01.03.2022 01:00 - 02:00,f,f,673,0,238,0,0,0,86,0,0,0,307,0,0,0,28,0,10,0,f,f,0,0,202,0,0,0,0,0,0,0,0,0,0,0,184,0,10,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,406,0,0,0,162,0,0,0,229,0,0,0,89,0,0,0,100,0,0,0,0,0,0,0,40,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
01.03.2022 02:00 - 03:00,f,f,586,0,232,0,0,0,89,0,0,0,303,0,0,0,27,0,11,0,f,f,0,0,193,0,0,0,0,0,0,0,0,0,0,0,180,0,10,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,392,0,0,0,159,0,0,0,226,0,0,0,89,0,0,0,99,0,0,0,0,0,0,0,39,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
01.03.2022 03:00 - 04:00,f,f,659,0,232,0,0,0,86,0,0,0,299,0,0,0,28,0,9,0,f,f,0,0,187,0,0,0,0,0,0,0,0,0,0,0,179,0,10,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,382,0,0,0,157,0,0,0,230,0,0,0,88,0,0,0,97,0,0,0,0,0,0,0,38,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
01.03.2022 04:00 - 05:00,f,f,740,0,235,0,0,0,82,0,0,0,303,0,0,0,27,0,11,0,f,f,0,0,191,0,0,0,0,0,0,0,0,0,0,0,180,0,8,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,385,0,0,0,163,0,0,0,226,0,0,0,88,0,0,0,99,0,0,0,0,0,0,0,39,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
01.03.2022 05:00 - 06:00,f,f,565,0,247,0,0,0,84,0,0,0,317,0,0,0,28,0,10,0,f,f,0,0,201,0,0,0,0,0,0,0,0,0,0,0,183,0,10,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,405,0,0,0,168,0,0,0,226,0,0,0,89,0,0,0,104,0,0,0,0,0,0,0,41,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
01.03.2022 06:00 - 07:00,f,f,689,0,270,0,0,0,82,0,0,0,357,0,0,0,32,0,11,0,f,f,0,0,222,0,0,0,0,0,0,0,0,0,0,0,189,0,10,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,436,0,0,0,189,0,0,0,227,0,0,0,97,0,0,0,118,0,0,0,0,0,0,0,45,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
01.03.2022 07:00 - 08:00,f,f,676,0,293,0,0,0,105,0,0,0,405,0,0,0,42,0,10,0,f,f,0,0,242,0,0,0,0,0,0,0,0,0,0,0,204,0,12,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,473,0,0,0,216,0,0,0,228,0,0,0,108,0,0,0,126,0,0,0,0,0,0,0,50,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
01.03.2022 08:00 - 09:00,f,f,663,0,320,0,0,0,166,0,0,0,433,0,0,0,46,0,7,0,f,f,0,0,267,0,0,0,0,0,0,0,0,0,0,0,223,0,14,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,515,0,0,0,248,0,0,0,253,0,0,0,119,0,0,0,138,0,0,0,0,0,0,0,53,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
01.03.2022 09:00 - 10:00,f,f,692,0,321,0,0,0,263,0,0,0,452,0,0,0,49,0,8,0,f,f,0,0,290,0,0,0,0,0,0,0,0,0,0,0,235,0,16,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,562,0,0,0,263,0,0,0,279,0,0,0,125,0,0,0,143,0,0,0,0,0,0,0,59,0,f,f,0,0,0,0,0,0,0,0,f,0,0,0,0,f,f,f,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0
